gene,drug,family,pan_cancer_mean_effect,pan_cancer_essential_frac,rewiring_partners
BRD4,JQ1/OTX015/ABBV-075 (clinical trials),BET,-1.0121325827308718,0.932780847145488,0
DNMT1,Azacitidine/Decitabine (FDA),DNMT,-0.6400878061942876,0.7596685082872928,0
EHMT2,UNC0642 (preclinical),KMT,-0.4491721717698295,0.36095764272559855,0
EP300,CCS1477 (clinical trial),HAT,-0.26518271133367743,0.22467771639042358,0
CREBBP,A-485 (preclinical),HAT,-0.07269648546691682,0.07366482504604052,0
DOT1L,Pinometostat (clinical trial),KMT,-0.12047111880495655,0.05432780847145488,0
EZH2,Tazemetostat (FDA approved),PRC2,-0.07918664194774289,0.040515653775322284,5
SMARCA2,FHD-286 (clinical trial),SWI_SNF,-0.028887409179457924,0.03406998158379374,0
HDAC1,Vorinostat/Romidepsin (FDA),HDAC,-0.1450878473074485,0.027624309392265192,0
BRD9,BI-7273 (preclinical),SWI_SNF,0.019592335510745754,0.013812154696132596,0
KDM1A,Iadademstat (clinical trial),KDM,-0.10243559875339837,0.007366482504604052,0
KDM5B,KDOAM-25 (preclinical),KDM,-0.10504783613917873,0.0027624309392265192,0
HDAC6,Ricolinostat,HDAC,-0.007010945907404401,0.0,0
DNMT3A,Azacitidine,DNMT,0.0902142927740852,0.0,0
