pathway_a,pathway_b,n_sl_pairs,expected,enrichment_ratio,genes_a,genes_b,example_pairs
Cell_Cycle,DNA_Repair,5,23.16,0.22,23,20,"[('BRCA1', 'CDK6'), ('BRCA2', 'CDC25B'), ('BRCA2', 'CCNA2')]"
RAS_MAPK,RAS_MAPK,3,9.87,0.3,14,14,"[('BRAF', 'GRB2'), ('NRAS', 'GRB2'), ('EGFR', 'MAP2K1')]"
Ferroptosis,RAS_MAPK,3,9.87,0.3,14,14,"[('BRAF', 'GPX4'), ('EGFR', 'GPX4'), ('ERBB2', 'GPX4')]"
DNA_Repair,MYC_Network,3,11.08,0.27,20,11,"[('BRCA1', 'MYC'), ('BRCA2', 'AURKB'), ('BRCA2', 'CDK9')]"
DNA_Repair,PI3K_AKT_mTOR,3,14.1,0.21,20,14,"[('BRCA2', 'RHEB'), ('BRCA2', 'RICTOR'), ('BRCA2', 'RPTOR')]"
DNA_Repair,RAS_MAPK,3,14.1,0.21,20,14,"[('BRCA2', 'KRAS'), ('KRAS', 'ATM'), ('BRCA2', 'RAF1')]"
Ferroptosis,RTK_Signaling,2,9.87,0.2,14,14,"[('EGFR', 'GPX4'), ('ERBB2', 'GPX4')]"
Cell_Cycle,PI3K_AKT_mTOR,2,16.21,0.12,23,14,"[('STK11', 'CCND1'), ('PTEN', 'CCNA2')]"
DNA_Repair,p53_Apoptosis,2,15.1,0.13,20,15,"[('BRCA2', 'TP53'), ('BRCA2', 'BCL2L1')]"
RAS_MAPK,RTK_Signaling,2,9.87,0.2,14,14,"[('EGFR', 'FGFR1'), ('EGFR', 'MAP2K1')]"
DNA_Repair,Metabolism,2,14.1,0.14,20,14,"[('BRCA2', 'FASN'), ('BRCA2', 'SDHA')]"
PI3K_AKT_mTOR,p53_Apoptosis,2,10.57,0.19,14,15,"[('PIK3CA', 'CYCS'), ('STK11', 'BAK1')]"
PI3K_AKT_mTOR,PI3K_AKT_mTOR,2,9.87,0.2,14,14,"[('PIK3CA', 'PIK3CB'), ('PIK3CA', 'PTEN')]"
MYC_Network,RAS_MAPK,2,7.75,0.26,11,14,"[('KRAS', 'KAT2A'), ('EGFR', 'WDR5')]"
RAS_MAPK,p53_Apoptosis,1,10.57,0.09,14,15,"[('BRAF', 'TP53')]"
Cell_Cycle,RAS_MAPK,1,16.21,0.06,23,14,"[('BRAF', 'CDKN1A')]"
MYC_Network,MYC_Network,1,6.09,0.16,11,11,"[('MYC', 'MYCN')]"
Chromatin_Remodeling,MYC_Network,1,9.41,0.11,17,11,"[('MYC', 'EED')]"
Ferroptosis,Metabolism,1,9.87,0.1,14,14,"[('VHL', 'GPX4')]"
Ferroptosis,Wnt_Signaling,1,9.87,0.1,14,14,"[('CTNNB1', 'GPX4')]"
Metabolism,RAS_MAPK,1,9.87,0.1,14,14,"[('KRAS', 'PKM')]"
Chromatin_Remodeling,RAS_MAPK,1,11.98,0.08,17,14,"[('ARID1A', 'KRAS')]"
RTK_Signaling,RTK_Signaling,1,9.87,0.1,14,14,"[('EGFR', 'FGFR1')]"
Metabolism,PI3K_AKT_mTOR,1,9.87,0.1,14,14,"[('PIK3CA', 'OGDH')]"
Chromatin_Remodeling,Ferroptosis,1,11.98,0.08,17,14,"[('ARID1A', 'DHODH')]"
MYC_Network,RTK_Signaling,1,7.75,0.13,11,14,"[('EGFR', 'WDR5')]"
PI3K_AKT_mTOR,Wnt_Signaling,1,9.87,0.1,14,14,"[('PIK3CA', 'CTNNB1')]"
